label-coarse,text
4,how many stradivarius violins were ever made ?
OTHERS,"what literary classic centers on the search for a treasure in gold worth 7 , 0 pounds ?"
OTHERS,what is agent orange ?
5,what country is bounded in part by the indian ocean and coral and tasman seas ?
3,who invented astroturf ?
OTHERS,name the only extant trilogy of classical greek plays .
OTHERS,what does an irate car owner call iron oxide ?
OTHERS,what are differences between 1980 and 1990 ?
OTHERS,"what is it that walks on four legs , then on two legs , then on three ?"
OTHERS,what five-time winner of the kentucky derby lost his first 25 races ?
3,who is stein eriksen ?
OTHERS,what tennis term is said to come from the french word for egg ?
OTHERS,what is the best selling computer model ever ?
5,where is there information on the novel `` el cid '' ?
4,how many propellers helped power the plane the wright brothers flew into history ?
4,in what year was the movie the ten commandments released ?
OTHERS,ray charles is best known for playing what instrument ?
OTHERS,what money was used by them ?
OTHERS,where did the marriage ceremony come from ?
OTHERS,what is the best way to overcome a fear ?
3,who played the title role in the romantic englishwoman ?
4,how many shillings more than 2 were there in a guinea ?
3,who was picasso ?
3,what fast-food magnate 's initials graced the left sleeve of the san diego padres ' baseball uniforms in 1984 ?
3,what major league baseball team compiled the best won-lost record between 1957 and 1983 ?
OTHERS,what did mr. magoo flog on tv for general electric ?
OTHERS,which sex is twice as likely to contract leprosy ?
OTHERS,what don mclean song laments the day buddy holly died ?
4,what phone number can i call to have a tree planted ?
OTHERS,how do i make fuel bricks from recycled newspaper ?
OTHERS,what are values ?
4,what are the lengths of pearl necklaces ?
3,who invented `` the muppets '' ?
OTHERS,why is the mile 528 feet ?
OTHERS,what are chloroplasts ?
3,what actor dressed up as santa claus and had a once-a-year affair with actress shelley winters every christmas for many years ?
OTHERS,name a technique widely used to detect birth defects ?
OTHERS,what did warlock wear on his forehead in marvel comics ?
5,what african country was founded by freed american slaves in 1847 ?
3,what pseudonym did william sydney porter use in writing the gift of the magi ?
3,who is the president of stanford university ?
5,what is the highest continent ?
OTHERS,what keeps clouds in the air ?
3,who was the first president to appoint a woman to head a cabinet ?
OTHERS,what is idealab ! ?
OTHERS,what 's the olympic motto ?
3,who was gerald ford 's vice president ?
OTHERS,what causes a person to have constantly sweaty hands and feet ?
OTHERS,name a gaelic language .
4,how many colors was the 1940s collectible called a donald duck rubber boat ?
4,what is dick clark 's date of birth ?
4,how many times a year does the american gourd society publish the gourd ?
OTHERS,what are the major differences in the catholic and methodist religions ?
OTHERS,what did san francisco 's milt harper grow that measured 24 inches from tip to tip in 1974 ?
OTHERS,what is compaq 's mission statement ?
4,in what year did china and the republic of korea establish diplomatic relations ?
3,what company is the largest japanese ship builder ?
3,who played sally rogers on the dick van dyke show ?
OTHERS,"what is the smallest thing seen under the most powerful microscope , and how big is it ?"
5,what u.s. state has sagebrush as its state flower ?
4,what is the population of the united states ?
5,what are the top 5 tallest buildings in the world ?
OTHERS,what determines the value of the pearl ?
5,what body of water does the danube river flow into ?
3,who gave us the `` rolling writer '' ?
5,what south american city has the world 's highest commercial landing field ?
3,"who manufactures the software , `` photoshop '' ?"
5,what country has been called the queen of the antilles ?
3,what was the name of the 187s irish terrorist group in pennsylvania mining areas ?
OTHERS,what is a fear of glass ?
OTHERS,what was cash-conscious colonel edwin l. drake the first to drill ?
2,what is html ?
OTHERS,what happened in the long march ?
4,how tall is kilamanjaro ?
OTHERS,what do opposite faces of a die always add up to ?
OTHERS,what caused an adjournment of the 25th anniversary session of the united nations general assembly ?
OTHERS,what creature scares people in the film `` jaws '' ?
3,what is rona barrett 's married name ?
5,what stadium do the miami dolphins play their home games in ?
3,"what woman has carried the most multiple births , twins , triplets , etc. , ?"
OTHERS,how were the days of the week named ?
4,what is the size of the largest akita ?
5,what was the tallest building in america in 1922 ?
5,what is new england 's highest mountain ?
5,in what city or state do the most gay men live in ?
5,where can i find a list of `` classic '' books 5th and 6th graders should read ?
OTHERS,where did the term fireplug come from ?
3,what wild and crazy guy wrote a book called cruel shoes ?
4,when did nixon visit china ?
4,"what 's the maximum length , in inches , of a first baseman 's glove ?"
4,when did the jurassic period end ?
OTHERS,what is the vdrl test of blood ?
OTHERS,what animal causes the biggest threat to humans ?
OTHERS,what is a multiplexer ?
OTHERS,how does the speed the magnet spins in a generator affect the output of the generator ?
OTHERS,what is remembrance day all about ?
4,when did the art of quilting begin ?
2,what does the acronym cpr mean ?
OTHERS,what 's the second-lightest element ?
3,who was the author of the famous fairy tale `` snow white and seven dwarfs '' ?
OTHERS,what do i need to learn to design web pages ?
5,what country 's capital is tirana ?
OTHERS,where did the term `` 86 '' come from ?
4,how many miles of corridors are in the pentagon ?
OTHERS,"what overalls are named for dungri , a suburb of bombay ?"
OTHERS,what do the japanese call japan ?
5,where did dikembe mutombo go to college ?
4,how many chairs are shown in vincent van gogh 's 188 work the artist 's room in arles ?
OTHERS,what qualifications are there for individuals donating blood ?
OTHERS,what measures did clinton take to avoid the draft ?
3,who invented the paper clip ?
OTHERS,what is the name given to the islamic counterpart of the red cross ?
OTHERS,why are there olives in martinis ?
3,what explorer was nicknamed iberia 's pilot ?
3,what company tabulates the ballots in voting for the academy awards ?
4,how many people die from tuberculosis each year ?
3,"what architect originated the glass house designed the chicago federal center had a philosophy of `` less is more , '' and produced plans that were the forerunner of the california ranch house ?"
3,what company has built more than 2.5 billion little green houses since 1935 ?
5,what u.s. state has the second-longest coastline ?
OTHERS,"what do the names neil , mary , and anthony mean ?"
OTHERS,what age followed the bronze age ?
5,where did king francis i hang the `` mona lisa '' when he owned it ?
4,how many `` no '' answers was the what 's my line ? panel allowed ?
5,where did cable cars first roll down clay street in 1873 ?
OTHERS,what function does homeostasis have on the existence of an organism ?
OTHERS,what is a wart ?
4,what seven digits follow the area code in the number for long distance information ?
OTHERS,what are the greek numerals ?
OTHERS,what 1964 film introduced the song my kind of town ?
5,what building appropriately enough is depicted on the back of the 1-dollar bill ?
3,what baseball player was walked the most times ?
OTHERS,how do ants have sex ?
OTHERS,what are the words to `` my way '' written by paul anka ?
OTHERS,how did jayne mansfield die ?
5,what is the longest place name in the u.s. ?
OTHERS,what is the most advanced handheld calculator in the world ?
5,where can i get cotton textiles importer details ?
4,when did the american civil war end ?
OTHERS,what instrument is ray charles best known for playing ?
OTHERS,what was the longest war in u.s. history ?
OTHERS,how do you ask questions ?
4,what is the average cost for four years of medical school ?
3,which glamorous actress is a close friend of dick tracy ?
OTHERS,what is the procedure called for drilling a hole in your skull to acheive a higher consciousness ?
4,how many people died on south carolina highways in 1998 ?
3,what catch-22 character is elected mayor of half a dozen italian cities ?
3,which company claimed to be `` the world 's biggest toy store '' ?
OTHERS,what is the origin of a.m. and p.m. ?
3,what are the first names of the famous husband-and-wife acting team of lunt and fontanne ?
OTHERS,what four tournaments make up tennis ' grand slam ?
3,who asked you to do the loco-motion with her in 1962 ?
OTHERS,what does a nihilist believe in ?
3,what international organization was founded by clara barton ?
OTHERS,how is the new ford econoline van f25 v1 engine ?
4,how many films did ingmar bergman make ?
5,what country has the largest sheep population ?
OTHERS,what is a drought ?
4,what are the statistics for drunken drivers in maryland ?
4,how many years did it take james joyce to write ulysses ?
OTHERS,what is artificial intelligence ?
5,what city is wiener schnitzel named for ?
OTHERS,what cigarette is `` a whole new world '' ?
5,what 's the most common street name in america ?
OTHERS,what cbs soap opera was interrupted by the bulletin of john f. kennedy 's assassination ?
3,what university fired angela davis ?
OTHERS,how does hair curl ?
OTHERS,what product does `` mrs. olsen '' promote ?
4,when was the hoover dam constructed ?
5,what texas city got its name from the spanish for `` yellow '' ?
4,when did princess diana and prince charles get married ?
5,where can i find free piano scores for popular music ?
3,who is edmund kemper ?
3,who co-starred with julie andrews in mary poppins ?
OTHERS,the operating system that runs on ibm-compatible machines is called what ?
2,what is the full form of .com ?
5,"what is the most important nation in the world , historically ?"
OTHERS,what is a fear of ruin ?
4,how much money can a person be fined for having a dog on a beach ?
OTHERS,how do you tell your parents you are dating an older man ?
OTHERS,what is the origin of u.s. army sergeant 's stripes ?
OTHERS,what 's a short ton ?
OTHERS,what animal was the heat-seeking missile called the sidewinder named for ?
4,how long does cocaine stay in your system ?
3,"who was in death of a salesman original movie , not 1985 ?"
5,what is the largest city in connecticut ?
3,who is the mayor of marbella ?
5,what state capital comes last alphabetically ?
OTHERS,what causes headaches ?
OTHERS,what causes the redness in your cheeks when you blush ?
3,who portrayed `` the man without a face '' in the movie of the same name ?
3,what was darth vader 's son named ?
5,in what city is the us declaration of independence located ?
OTHERS,what are snowballs to a hot-rodder ?
5,what city hosted the first winter olympics in asia ?
3,what new orleans d.a. claimed : `` my staff and i solved the assassination weeks ago '' ?
OTHERS,what revelation did alexander butterfield make to the senate watergate committee ?
OTHERS,how do i check if my modem is v.9 compatible ?
2,what is the abbreviated expression for the national bureau of investigation ?
5,where were the 196 summer olympics held ?
4,how many millimeters are in a mile ?
OTHERS,what was the name of the computer in ` 2001 : a space odyssey ' ?
OTHERS,what is the origin of the word `` mushroom '' ?
OTHERS,what did abolitionists try to end ?
OTHERS,what three colors of ink are used to print a u.s. dollar bill ?
OTHERS,how can a foreigner get a u.s. social security card ?
OTHERS,what does e=mc2 mean ?
OTHERS,how do i find out what cities are in a certain area code ?
5,what south american country won its first world cup soccer title in 1978 ?
5,"where does buzz aldrin want to build a permanent , manned space station ?"
3,"what lawyer won the largest divorce settlement , $85 million , in u.s. history for sheika dena al-farri ?"
3,what was the infamous pseudonym of peter sutcliffe ?
4,in which year was new zealand excluded from the anzus alliance ?
OTHERS,what color eyes are most sensitive to light ?
OTHERS,what 's the term for a young fox ?
5,where is the massive north korean nuclear complex located ?
4,when was the first railroad from the east coast to the west coast completed ?
OTHERS,why do girls have to wear training bras ?
3,what u.s. senator once played basketball for the new york knicks ?
3,who is the director and editor of the movie big starring tom hanks ?
5,what country offered albert einstein its presidency in 1952 ?
OTHERS,what is the theory of equivalence states ?
OTHERS,what is garry kasparov famous for ?
3,who is the french literary charcter who is chiefly famous for his enormous nose ?
5,what is the largest shopping mall in the world ?
OTHERS,what is software piracy ?
OTHERS,what spice do chefs pay the most for ?
4,how many points is a bullseye worth in darts ?
5,what country is kosovo a part of ?
4,what is the weight of a teaspoon of matter in a black hole ?
4,what is the world record for the longest hair ?
4,what is the average hourly rate of american workers ?
5,what were the cities of dickens 's a tale of two cities ?
3,who are the top 10 richest people in the world ?
5,what city is the kentucky horse park near ?
2,"in a computer , what does scsi mean ?"
OTHERS,what is the difference between optical and digital video ?
OTHERS,what is a fear of slime ?
3,what one of the backstreet boys are single ?
OTHERS,what trophy is awarded to the winners of the super bowl ?
4,how big is australia ?
OTHERS,what does the name gina mean ?
OTHERS,"what was organized as a confederate veterans ' social club in pulaski , in tennessee , in 1866 ?"
3,what democratic prankster waved the train out of the station while richard nixon spoke from the caboose ?
4,when did cnn go on the air ?
5,where is rider college ?
OTHERS,what was the filling in the first golf balls ?
OTHERS,what do chefs call the master spice ?
4,"what is the recommended weight of a 15 year-old male that is 5 , 6 ?"
3,who was the first jockey to ride two triple crown winners ?
4,how many small businesses are there in the united states ?
OTHERS,"what are the 7 principles of learning from the institute for research on learning , irl ?"
OTHERS,what were first used by john l. sullivan and james j. corbett in 1892 ?
5,what country other than germany invaded poland in september 1939 ?
3,which major diamond producer is based in south africa ?
5,the orange bowl is located in what city ?
3,what 1920s cowboy star rode tony the wonder horse ?
OTHERS,how did the 7th inning stretch get started ?
5,"where can one find information on religion and health , the brain and nutrition ?"
4,what are the chances of pregnacy if the penis does not penetrate the vagina ?
3,"what english physician was born on january 18 , 1779 and went on to create two important inventions ?"
5,what is bill gross 's email address ?
3,what new york yankee was known as the iron horse ?
OTHERS,how do i tie dye clothes ?
5,where was chop suey invented ?
OTHERS,why are ice cream sundaes called sundaes ?
3,what is the name of the american swimmer who won seven gold medals in the 1972 olympics ?
OTHERS,what developed a crack in 1835 while tolling the death of u.s. chief justice john marshall ?
OTHERS,how do you exterminate bees that are in the walls of your home ? will bee eggs remain over winter ?
OTHERS,why does a woman have to be a virgin to be a nun ?
OTHERS,name the disposable razor that `` costs about 19 cents . ''
3,what was the christian name of the title character in our miss brooks ?
5,what is the largest county in size in massachusetts ?
3,who awarded the flying fickle finger of fate ?
OTHERS,what class is categorized as the bourgeoisie ?
3,"what 's mrs. bridges 's job on tv 's upstairs , downstairs ?"
3,what bottled-up tv character was born in baghdad ?
4,in what year was the wall built ?
3,"what 's the better-known identity of john merrick , the noble ogre of victorian england ?"
4,how many people was randy craft convicted of murdering ?
4,what is the population of ohio ?
4,how many frames does a disk camera shoot ?
5,what was the first town to be chartered in vermont ?
2,what does ph stand for ?
OTHERS,what is the most popular sports car color ?
OTHERS,why was the zipper invented ?
OTHERS,what happens when a body part falls asleep ?
OTHERS,why were the american soldiers in wwi called `` doughboys ''
OTHERS,what layer of the atmosphere contains most of the ozone layer ?
OTHERS,what will the weather be today ?
4,how many school districts are there in the united states ?
4,how many muscles does the average adult use when going for a walk ?
5,where is santa lucia ?
OTHERS,what new year is celebrated on february 16th ?
3,what 's the name of popeye 's adopted son ?
OTHERS,in which sport is there a `` scrum '' ?
3,what two new york yankee pitchers swapped wives and families ?
4,how many warmup pitches does a reliever get coming into a baseball game ?
5,where is the keck telescope ?
3,what is nathan hamill 's role in the new star wars prequel ?
3,what isps exist in the caribbean ?
3,who was the star of leave it to beaver ?
3,what is the occupation of nicholas cage ?
OTHERS,what color are school buses ?
OTHERS,what is office automation ?
OTHERS,what is a word whose letters can be rearranged to form a different word ?
4,what is the temperature today ?
5,what nationality were the 123 people who died in the black hole of calcutta ?
3,what record company produced the 1978 movie the wiz ?
OTHERS,how does a copier work ?
OTHERS,how does it make its colors ?
OTHERS,what is candlemas day ?
OTHERS,how was the element calcium named ?
5,what city is served by mccarren airport ?
3,what six-foot temperance advocate wielded her hatchet on saloons ?
OTHERS,what is the origin of the word nevermind ?
OTHERS,what is archimedes famous for ?
3,who played humpty dumpty in the 1933 film alice in wonderland ?
OTHERS,what do you call a `` twirl '' in ballet ?
5,"what las vegas hotel burned in november , 1980 , with the loss of 84 lives ?"
OTHERS,what is the origin of the expression `` tout de suite '' ?
3,who directed the wild bunch ?
OTHERS,"what english word comes from the old french covrefeu , meaning cover fire ?"
3,name of heroine in `` scruples '' ?
OTHERS,what does the name kelly mean ?
OTHERS,what is limbo ?
3,who was the first doctor to successfully transplant a liver ?
3,what american actress was the first to be called a `` vamp '' ?
OTHERS,what does `` philebus-like '' mean ?
4,how long do flies live ?
4,what is the temperature for cooking ?
2,what does ` psi ' stand for ?
5,what were the first bodies visited by spacecraft ?
3,who was credited with saying : `` i never met a man i did n't like '' ?
5,what country is the largest diamond producer ?
5,what famed river flows through bagdad ?
3,who won a pulitzer prize for his novel the caine mutiny ?
OTHERS,what is win rah ?
OTHERS,what is a fear of water ?
OTHERS,what holidays are celebrated in ireland ?
2,what is the abbreviation of the international olympic committee ?
3,what director portrayed the commandant of the pow camp in 1953 's stalag 17 ?
5,in what part of the world is mozambique ?
4,how many degrees cooler is the inside of a cucumber than the air outside ?
4,what is the busiest air travel season ?
OTHERS,what muhammad ali maneuver was george foreman the first victim of ?
OTHERS,what steps can be taken to prevent diabetes ?
4,how many people died when the estonia sank in 1994 ?
OTHERS,what soft drink would provide me with the biggest intake of caffeine ?
5,"what sound does olympia , washington , overlook ?"
OTHERS,what does the technique called `` cold fusion '' produce ?
3,who was shakespeare 's moorish general ?
4,when did the `` star-spangled banner '' become the national anthem ?
OTHERS,what did john f. kennedy consider his greatest blunder in office ?
3,what comedian has a legendary reputation for stealing jokes ?
OTHERS,what mammal of north america is the world 's longest-lived for its size ?
OTHERS,what is swap math ?
OTHERS,what cards are bullets ?
3,what is the name of the deranged super-criminal otto octavius uses ?
3,who developed the first polio vaccine ?
2,what is the abbreviation of the national bureau of investigation ?
OTHERS,what four tastes can a human distinguish ?
5,what is the largest island in the mediterranean sea ?
4,when is the thai new year ?
5,where did the myth of santa claus originate ?
OTHERS,what makes sperm ?
OTHERS,what food of the three bears did goldilocks eat ?
OTHERS,in what religion was isis the nature goddess ?
OTHERS,"what does the greek word polis mean , as in minneapolis ?"
5,what city boasts the billingsgate fishmarket ?
5,what river runs through liverpool ?
OTHERS,what is in baby powder and baby lotion that makes it smell the way it does ?
4,how many people died in the vietnam war ?
3,who was with patricia hearst the night she was kidnaped ?
OTHERS,what war saw battles at parrot 's beak and black virgin ?
3,president bush compared saddam hussein to whom ?
OTHERS,what chocolate bar created by frank mars and his wife is often called a milky way with peanuts ?
OTHERS,what flower did vincent van gogh paint ?
4,what year did charles dicken die ?
OTHERS,what are the main blood vessels ?
3,who were the head writers for the smothers brothers comedy hour ?
3,who wrote the farmer 's almanac ?
3,what was the ventura county police department that seized the county 's largest amount of cocaine ever ?
3,who shoplifts ?
OTHERS,which thrilled taste buds first - snickers or 3 musketeers ?
5,what u.s. state has the most blondes ?
5,what continent 's second-highest peak is mont blanc ?
OTHERS,what is hebephrenia ?
3,what knighted actor narrates tv 's the world at war ?
3,what 2th-century american poet wrote a four-volume biography of abraham lincoln ?
3,who invented the stethoscope ?
OTHERS,why should cigarette smoking be banned ?
OTHERS,what do hasidic jews refrain from while dating ?
OTHERS,what type is a snail ?
OTHERS,how do you look up criminal records on the internet ?
OTHERS,what letter appears on the cold-water tap in spain ?
OTHERS,how can you define time ?
3,who is the man behind the pig-the man who pulls the strings and speaks for miss piggy ?
3,what was the name of randy steven craft 's lawyer ?
OTHERS,what dangles over the tongue from the palate ?
4,what will the increase be in the california gas tax by 2000 ?
5,what canal does the thatcher ferry bridge span ?
OTHERS,what is the daily requirement of folic acid for an expectant mother ?
OTHERS,why do men snore ?
OTHERS,what 's the most extensively grown and eaten food ?
3,who invented the road traffic cone ?
OTHERS,what 's the most abundant element in the sun ?
OTHERS,what brand of white rum is still made in cuba ?
OTHERS,what are the various ways in which one can measure it user satisfaction level ?
3,what future president became senate majority whip under harry truman ?
3,what 19th-century writer had a country estate on the hudson dubbed sunnyside ?
3,who recorded the 1957 hit tammy ?
3,what police force did mack sennett create ?
2,"what is p.m. an abbreviation for , as in 5 p.m. ?"
OTHERS,what product did robert conrad dare people to knock off his shoulder ?
OTHERS,"what soft drink first appeared in the old corner drug store in waco , texas , in 1885 ?"
4,"on which dates does the running of the bulls occur in pamplona , spain ?"
OTHERS,what two vegetables are combined in succotash ?
4,how many muscles does an oyster have ?
3,what classical spanish writer warned : `` all that glitters is not gold '' ?
OTHERS,what is the most widely cultivated plant ?
OTHERS,what does god create in the first sentence of the bible ?
OTHERS,what two major world religions began in india ?
OTHERS,what is barnstorming ?
OTHERS,what do japanese school uniforms look like ?
3,who is the prophet of medina ?
3,"who does shakespeare 's antonio borrow 3 , 0 ducats from ?"
OTHERS,what happened to answers.com ?
OTHERS,why does tuberculosis afflict people ?
OTHERS,what is a fear of hair ?
3,what does larry king do for a living ?
4,what date is boxing day ?
OTHERS,how do they raise the cranes when building high-rise buildings ?
3,which ventura county police department seized the largest cocaine shipment in it 's history ?
5,"where on the web is adventours tours from sydney , australia ?"
OTHERS,what are perfect tenses ?
4,how much snow equals an inch of rain ?
OTHERS,what judith rossner novel was made into a film starring diane keaton ?
OTHERS,what exactly is the purpose of the anteater ?
OTHERS,how do i find out the exact time of a sunset for a particular day ?
4,"how many times has `` louie , louie '' been recorded ?"
OTHERS,what is a fear of motion ?
4,how old is stevie wonder ?
OTHERS,"in the song `` yankee doodle , '' why did yankee doodle stick a feather in his cap and call it macaroni ?"
3,who was the original humpty dumpty ?
5,what country is home to heineken beer ?
OTHERS,what 's approaching when a cyclist shouts : `` oil '' ?
3,name the two blob members of the animated herculoids .
OTHERS,why did the aztecs first think the spanish were gods ?
OTHERS,what are maid-rites ?
OTHERS,what film had bette davis creating a scandal by wearing a daring red gown to a society ball ?
4,what is the amount of money owed for illegally having a dog on a beach ?
3,who was the tallest u.s. president ?
5,what ocean did the titanic sink in ?
OTHERS,what makes a clitoris sensitive ?
OTHERS,what 's the only mammal that can 't jump ?
OTHERS,what 's a `` drinker respirator '' better known as ?
5,what is the state nickname of mississippi ?
5,what ocean surrounds the maldive islands ?
OTHERS,what is widely used to detect prenatal birth defects ?
3,who does data collection in tourism ?
4,how many countries are there ?
OTHERS,how do i find a city if i have the area code ?
5,where was christopher columbus born ?
5,where is trinidad ?
OTHERS,what is april 's gemstone ?
2,what does `` b.y.o.b. '' mean ?
OTHERS,"what poem contains the line , `` grow old with me the best is yet to be '' ."
3,who wrote : `` poems are made by fools like me but only god can make a tree '' ?
3,"whom does uncle duke 's girl friend , honey , room with ?"
3,what president dispatched a cruiser to carry charles lindbergh home after his epic flight ?
OTHERS,what is the origin of `` jiggy '' as in getting jiggy with it ?
OTHERS,what do peacocks mate with ?
OTHERS,what is the medical term for cancer of the blood ?
3,who was confucius ?
OTHERS,how can i get someone 's phone number if i only have their screen name ?
4,how long does it take the moon to revolve around the earth ?
5,what river is pocahontas buried along ?
OTHERS,how did bob marley die ?
5,what city is sometimes called the athens of switzerland ?
3,what well-known music personality is the father of an adopted son named hans christian henderson ?
3,who won the first world series ?
3,who are the presidents of mexico and indonesia ?
5,where does the opera singer ileana cotrubas come from ?
5,what is the web address of the list of e-mail addresses of members of the house of representatives ?
5,in 139 the papal court was forced to move from rome to where ?
2,what is the abbreviation for micro ?
OTHERS,what words in the english have two u 's back to back ?
3,what actor was the first man to appear on the cover of mccall 's ?
OTHERS,what do a diamond and lump of coal have in common ?
OTHERS,what are the environmental influences on plant genetics ?
5,what u.s. state has an element named for it ?
4,how long does it take to travel from tokyo to niigata ?
4,how many wings does a flea have ?
OTHERS,what is the alphabet for latin ?
4,how many pairs of wings does a tsetse fly have ?
3,who is the premier of china ?
OTHERS,"what 's the meaning of the latin battle cry : ad arma , ad arma ."
OTHERS,what sport was the first televised in the u.s. ?
OTHERS,how do they find an epicenter ?
4,how many revolutions does a standard lp make in three minutes ?
4,how old was sir edmund hillary when he climbed mt. everest ?
OTHERS,what does the number 33 on the rolling rock beer bottle mean ?
3,who was camp david named for ?
OTHERS,why are organ transplants more successful today ?
4,what 's the percentage of children aged two through eleven who watch ` 'the simpsons ' ?
5,what colorful sea 's region does greek legend say the amazons lived near ?
OTHERS,what is the largest snake in the world ?
OTHERS,how do i get my lan card activated so that it can hook up to another computer without using a hub ?
3,who was the conservationist who served as spokesperson for post grape nuts ?
OTHERS,what did people use to freshen their breath before toothpaste ?
3,what polynesian people inhabit new zealand ?
OTHERS,how do you get to the top of the eiffel tower ?
OTHERS,what letter adorns the flag of rwanda ?
OTHERS,what erica jong novel deals with isadora wing 's fear ?
OTHERS,what is ethylene ?
OTHERS,what stephen king novel is set in a graveyard for pets ?
4,"what month , date , and year did charles i die ?"
3,what crooner joined the andrews sisters for pistol packin mama ?
OTHERS,what 1963 joseph l. mankiewicz film cost $28 million ?
3,what attorney-general ordered the closing of alcatraz ?
4,how many times a day should you take a prescription marked `` q.i.d . '' ?
4,how many sides does a heptagon have ?
5,where did woodstock take place ?
5,what u.s. state boasts leif ericson park ?
4,how many miles is it to ohio from north carolina ?
3,who owns the st. louis rams ?
3,who founded the unification church ?
OTHERS,what 's the distinction of u.s. supreme court justice thurgood marshall ?
5,name a country that is developing a magnetic levitation railway system ?
OTHERS,what must a las vegas blackjack dealer do when he reaches 16 ?
5,what town was the setting for the music man ?
OTHERS,what sport features snatches and clean jerks ?
3,who portrayed the title character in the film the day of the jackal ?
3,what asian spiritual and political leader was married at the age of 13 ?
5,what are britain 's two longest rivers ?
5,"what celestial body has a diameter of 864 , 000 miles ?"
5,what country is proud to claim volcano national park ?
4,what is president nixon 's birthdate ?
OTHERS,how does ultraviolet light damage the dna of skin cells ?
OTHERS,what is the origin of the peace symbol ?
OTHERS,what three colors are on the french flag ?
2,what does nn o `` mean when used as a prefix in irish surnames ?
4,what 's men 's par on a 455-yard golf hole ?
OTHERS,what is `` the bear of beers '' ?
4,what is the size of argentina ?
3,what painter popularized soup cans and brillo soap pad boxes ?
4,how many points make up a perfect fivepin bowling score ?
OTHERS,what does lloyd 's lutine bell announce ?
OTHERS,what are the top vegetable crops in the world ?
4,how many four star generals were there and who are they ?
OTHERS,what do you know about multicultural and multilingual schools ?
OTHERS,what is the historical relationship of catholic church and bingo ?
OTHERS,what was the education system in the 1960 's ?
3,what actor learned to play the saxophone and speak russian for a role in a movie ?
4,how much is clara peller being paid by wendy 's to say `` where 's the beef '' ?
3,who succeeded nikita khrushchev as first secretary of the communist party ?
5,"what planet would you visit to see bebrenia , arcadia , and amazonis ?"
5,where is the smithsonian institute located ?
3,who wrote `` the pit and the pendulum '' ?
4,how old is bernadette peters ?
OTHERS,what disease does katharine hepburn have that makes her voice shake ?
4,when was babe ruth born ?
3,what diminutive american female gymnast stole the show at the 1984 olympics ?
5,where can i find full written draft of ctbt ?
4,when does the average teenager first have intercourse ?
4,how many different kinds of ice cream are there ?
OTHERS,what sport do you shag flies in ?
OTHERS,what is yohimbine ?
3,who was bonnie blue butler 's father ?
4,"when did president kennedy , lee harvey oswald , and jack ruby all die ?"
OTHERS,what is a neurosurgeon ?
5,what is the nickname of pennsylvania ?
OTHERS,what beer 's name is translated as `` lion brew '' ?
5,what two countries in south america are landlocked ?
4,on which date is the ukrainians ' christmas ?
3,who was the lead actress in the movie ` sleepless in seattle ' ?
OTHERS,name the french historical period during the reign of napoleon iii .
4,what fraction of a beaver 's life is spent swimming ?
4,at what age did rossini stop writing opera ?
3,what hall of fame pitcher started three world series games for the new york yankees in 1962 ?
OTHERS,what is the meaning of the name kathryn ?
OTHERS,what is recruitment interview technique ?
OTHERS,what are the lyrics to the star spangled banner ?
OTHERS,what was the name of the protestant revolt against the supremacy of the pope ?
OTHERS,how do you clean badly tarnished brass ?
4,what month did the edmund fitzgerald sink ?
OTHERS,what grand slam golf tournament wasn 't held between 1940 and 1945 ?
OTHERS,what does a polyorchid man have at least three of ?
OTHERS,what dog was dubbed the mortgage lifter ?
4,how many web servers are there ?
OTHERS,how do you get dates with the `` hooters '' girls ?
OTHERS,what color flies closest to the staff on belgium 's flag ?
5,where is inoco based ?
3,what is the name of the indian who became prime minister by beating mrs. gandhi in the 1977 election ?
3,who was the first holy roman emperor ?
3,what is larry king 's job ?
OTHERS,what are some children 's rights ?
OTHERS,what type of performer is ileana cotrubas ?
4,how big is the chappellet vineyard ?
OTHERS,what are the diseases that can be cured by black cumin ?
OTHERS,name four famous cartoon cats .
2,what does the e stand for in the equation e=mc2 ?
3,who won the 1967 academy award for best actor ?
4,when was the big thompson flood ?
OTHERS,"what race is 1 , 137 miles long ?"
4,how many feet high is the hurdle in front of a runner 's steeplechase water jump ?
4,what is the highest number of home runs on record for any one game ?
OTHERS,"what magazine gives us the cream , not the skim ?"
4,when did fraze get his first patent for the pull-tab can ?
OTHERS,what `` little red car '' is mentioned in pop singer prince 's hit song ?
3,what father and son won the medal of honor ?
OTHERS,how do wasps make their nests ?
5,what 's the oldest capital city in the americas ?
4,how long does it take for your blood to make one complete trip through the body ?
5,what city is often called the insurance capital of the world ?
OTHERS,what 1953 film won frank sinatra a best supporting actor oscar ?
3,"who did arthur h. bremer try to assassinate on may 15 , 1972 ?"
OTHERS,what would happen to canada if quebec separated ?
OTHERS,"in kafka 's metamorphosis , the hero awakes one morning to find himself turned into what ?"
3,what are the names of richard nixon 's two daughters ?
OTHERS,what novel has big brother watching ?
OTHERS,what kind of animals were in the paleozoic era ?
3,which member of the micronauts spent 1 years traveling the microverse in the marvel comics ?
3,whose autobiography is titled yes i can ?
4,what 's men 's par on a 455-yard golf hole ?
OTHERS,why is microsoft 's windows 3 software so successful ?
3,what company 's trademark was his master 's voice ?
3,what company 's logo is a `` w '' in a circle ?
4,what 's the american dollar equivalent for 8 pounds in the u.k. ?
3,what is the protagonist 's name in dostoevski 's `` the idiot '' ?
